33	0	2025-01-26 10:04:47.672961800Z	2271	-0.584409	-0.578333	-0.569208	7244.39	-3227.25	-18954.4	552	-999999	-999999	-999999	-999999	2271
34	0	2025-01-26 10:04:48.082094088Z	2064	-0.585907	-0.576772	-0.569252	13618	-2185.26	-15194.8	549	-999999	-999999	-999999	-999999	2064
35	0	2025-01-26 10:04:48.084992760Z	943	-0.585611	-0.56984	-0.576491	18106.7	-9311.91	2251.77	504	-999999	-999999	-999999	-999999	943
36	0	2025-01-26 10:04:48.099363400Z	2334	-0.578947	-0.582617	-0.570419	-5199.95	1105.28	-19854.9	538	-999999	-999999	-999999	-999999	2334
37	0	2025-01-26 10:04:48.243541464Z	1720	-0.586911	-0.572639	-0.572381	15097.5	-9585.25	-10032.2	480	-999999	-999999	-999999	-999999	1720
38	0	2025-01-26 10:04:48.265152072Z	937	-0.585395	-0.568882	-0.577655	15742.2	-12910.7	2311.61	538	-999999	-999999	-999999	-999999	937
39	0	2025-01-26 10:04:48.525526424Z	877	0.574818	-0.617026	-0.53746	-19228.3	-6956.27	1459.95	524	-10570.9	-16249.4	-6634.82	580	1499
40	0	2025-01-26 10:04:48.538950552Z	1705	-0.585478	-0.571259	-0.57522	8242.49	-16243.3	-9422.97	467	-999999	-999999	-999999	-999999	1705
41	0	2025-01-26 10:04:48.841153624Z	979	-0.579685	-0.579623	-0.572714	14451.4	14343	2251.77	286	-999999	-999999	-999999	-999999	979
42	0	2025-01-26 10:04:48.928013688Z	1811	-0.571897	-0.586093	-0.573959	-14174.2	10298.1	-10619.5	478	-999999	-999999	-999999	-999999	1811
43	0	2025-01-26 10:04:48.970962456Z	883	0.733207	0.23468	-0.638226	-17117.7	-11024.9	2251.77	529	7244.39	-3227.25	-18954.4	609	2271
43	1	2025-01-26 10:04:48.970962456Z	891	0.941507	0.334144	-0.0437311	-12753.7	-15871.6	2251.77	532	19993.2	-4249.62	730.744	588	953
44	0	2025-01-26 10:04:49.101597576Z	1387	-0.583864	-0.577176	-0.570939	18830.2	7160.18	-3722.65	467	-999999	-999999	-999999	-999999	1387
45	0	2025-01-26 10:04:49.721359704Z	1709	-0.585702	-0.571806	-0.574449	8760.19	-15173	-10619.5	529	-999999	-999999	-999999	-999999	1709
46	0	2025-01-26 10:04:49.752929416Z	2123	-0.574419	-0.584236	-0.573334	-13332	3530.46	-15194.8	500	-999999	-999999	-999999	-999999	2123
47	0	2025-01-26 10:04:49.901474136Z	1057	-0.570531	-0.580511	-0.580949	-20144.6	-3003.34	-2251.77	457	-999999	-999999	-999999	-999999	1057
48	0	2025-01-26 10:04:49.991326328Z	2064	-0.585907	-0.576772	-0.569252	13618	-2185.26	-15194.8	541	-999999	-999999	-999999	-999999	2064
49	0	2025-01-26 10:04:50.018109112Z	1476	-0.572787	-0.580537	-0.578699	-18192.1	-4906.99	-8057.81	511	-999999	-999999	-999999	-999999	1476
