,,,,,,,,,,,,,,
RUN 2642 – 26 gennaio,,,direzione,,,entry point [mm],,,tempo [ns],exit point [mm],,,tempo [ns],quality
event,traccia,charge [p.e.],ux,uy,uz,x,y,z,,x,y,z,,
21,0,877,0.713299,-0.530982,-0.457453,-18732.2,-8194.94,1482.39,524,-4947.54,-18456.3,-7357.99,565,1501
22,0,1373,-0.609723,0.476982,-0.633029,19702.6,-3673.16,-4308.76,515,6203.25,6887.3,-18324.1,603,2223
23,0,871,-0.569691,-0.579582,-0.582699,-20122.1,-3109.37,2251.77,499,-999999,-999999,-999999,-999999,871
24,0,1863,-0.580377,-0.575112,-0.576549,-6027.21,-15044.9,-12584.1,504,-999999,-999999,-999999,-999999,1863
25,0,2236,-0.577516,-0.584862,-0.569572,-4633.3,8027.93,-18324.1,523,-999999,-999999,-999999,-999999,2236
26,0,1460,-0.569626,-0.583428,-0.578911,-19702.9,4050.75,-3722.65,411,-999999,-999999,-999999,-999999,1460
27,0,1233,0.381998,-0.797667,-0.466696,-707.379,20453.6,-1183.5,391,11550.5,-5142.54,-16159.2,523,2151
28,0,999,-0.331666,-0.851759,-0.405592,1097.15,20382.9,1892.66,409,-11178,-11141.1,-13118.5,546,1853
29,0,2135,-0.580161,-0.577459,-0.574417,-6321.73,-10949.6,-16159.2,558,-999999,-999999,-999999,-999999,2135
30,0,1823,0.773104,0.052751,-0.632082,-17258.2,2543.98,-10767.2,516,-7244.39,3227.25,-18954.4,603,2301
31,0,2285,-0.581175,-0.582854,-0.567906,3966.81,6867.37,-18954.4,475,-999999,-999999,-999999,-999999,2285
32,0,2208,-0.584606,-0.577,-0.570357,6201.15,-6889.18,-18324.1,634,-999999,-999999,-999999,-999999,2208
33,0,2271,-0.584409,-0.578333,-0.569208,7244.39,-3227.25,-18954.4,552,-999999,-999999,-999999,-999999,2271
34,0,2064,-0.585907,-0.576772,-0.569252,13618,-2185.26,-15194.8,549,-999999,-999999,-999999,-999999,2064
35,0,943,-0.585611,-0.56984,-0.576491,18106.7,-9311.91,2251.77,504,-999999,-999999,-999999,-999999,943
36,0,2334,-0.578947,-0.582617,-0.570419,-5199.95,1105.28,-19854.9,538,-999999,-999999,-999999,-999999,2334
37,0,1720,-0.586911,-0.572639,-0.572381,15097.5,-9585.25,-10032.2,480,-999999,-999999,-999999,-999999,1720
38,0,937,-0.585395,-0.568882,-0.577655,15742.2,-12910.7,2311.61,538,-999999,-999999,-999999,-999999,937
39,0,877,0.574818,-0.617026,-0.53746,-19228.3,-6956.27,1459.95,524,-10570.9,-16249.4,-6634.82,580,1499
40,0,1705,-0.585478,-0.571259,-0.57522,8242.49,-16243.3,-9422.97,467,-999999,-999999,-999999,-999999,1705
41,0,979,-0.579685,-0.579623,-0.572714,14451.4,14343,2251.77,286,-999999,-999999,-999999,-999999,979
42,0,1811,-0.571897,-0.586093,-0.573959,-14174.2,10298.1,-10619.5,478,-999999,-999999,-999999,-999999,1811
43,0,883,0.733207,0.23468,-0.638226,-17117.7,-11024.9,2251.77,529,7244.39,-3227.25,-18954.4,609,2271
43,1,891,0.941507,0.334144,-0.0437311,-12753.7,-15871.6,2251.77,532,19993.2,-4249.62,730.744,588,953
44,0,1387,-0.583864,-0.577176,-0.570939,18830.2,7160.18,-3722.65,467,-999999,-999999,-999999,-999999,1387
45,0,1709,-0.585702,-0.571806,-0.574449,8760.19,-15173,-10619.5,529,-999999,-999999,-999999,-999999,1709
46,0,2123,-0.574419,-0.584236,-0.573334,-13332,3530.46,-15194.8,500,-999999,-999999,-999999,-999999,2123
47,0,1057,-0.570531,-0.580511,-0.580949,-20144.6,-3003.34,-2251.77,457,-999999,-999999,-999999,-999999,1057
48,0,2064,-0.585907,-0.576772,-0.569252,13618,-2185.26,-15194.8,541,-999999,-999999,-999999,-999999,2064
49,0,1476,-0.572787,-0.580537,-0.578699,-18192.1,-4906.99,-8057.81,511,-999999,-999999,-999999,-999999,1476
50,0,1657,-0.573821,-0.57996,-0.578253,-17015.9,-6499.45,-9422.97,622,-999999,-999999,-999999,-999999,1657
51,0,2253,-0.580105,-0.579764,-0.572146,-5307.93,-5892.55,-18954.4,523,-999999,-999999,-999999,-999999,2253
52,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,321,-999999,-999999,-999999,-999999,2184
53,0,1291,-0.570924,-0.580721,-0.580352,-19907.4,-3088.7,-3722.65,509,-999999,-999999,-999999,-999999,1291
54,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,512,-999999,-999999,-999999,-999999,897
55,0,2169,-0.578509,-0.58501,-0.56841,1321.56,12574.3,-16159.2,309,-999999,-999999,-999999,-999999,2169
56,0,1296,0.58488,0.489305,-0.646913,-18986.3,-5854.02,-5049.88,522,-6415.1,4662.92,-18954.4,585,2298
57,0,1028,-0.568241,-0.584646,-0.579044,-16446.4,11948.9,2251.77,353,-999999,-999999,-999999,-999999,1028
58,0,1955,-0.578823,-0.584651,-0.568461,4869.74,14987.7,-13118.5,565,-999999,-999999,-999999,-999999,1955
59,0,2358,-0.582415,-0.580156,-0.569396,2034.05,-1853.58,-20365.5,543,-999999,-999999,-999999,-999999,2358
60,0,1878,-0.583872,-0.573343,-0.574779,2494.75,-15583.6,-13118.5,540,-999999,-999999,-999999,-999999,1878
61,0,933,-0.793863,0.0399364,-0.606784,15472.8,-13370.8,1436.73,534,-6286.48,-12276.2,-15194.8,624,2135
62,0,1870,-0.581952,-0.574316,-0.575754,-2494.64,-15583.6,-13118.5,565,-999999,-999999,-999999,-999999,1870
63,0,2297,-0.577794,-0.5843,-0.569866,-5305.44,5894.8,-18954.4,536,-999999,-999999,-999999,-999999,2297
64,0,890,-0.574546,-0.57367,-0.583781,-13602.6,-15107.3,2251.77,501,-999999,-999999,-999999,-999999,890
65,0,979,-0.156368,-0.842782,-0.515042,14207,14678.4,1719.53,71,9363.48,-11426.8,-14233.9,591,2145
66,0,1291,-0.570924,-0.580721,-0.580352,-19907.4,-3088.7,-3722.65,482,-999999,-999999,-999999,-999999,1291
67,0,2106,-0.574581,-0.586402,-0.570955,-7974.12,12436.2,-14233.9,443,-999999,-999999,-999999,-999999,2106
68,0,1206,0.142456,-0.627106,-0.765797,10749.8,17423.6,-1053.79,511,13201.6,6630.5,-14233.9,575,2159
69,0,1927,-0.584441,-0.578917,-0.568581,15528.5,5931.3,-12029.9,461,-999999,-999999,-999999,-999999,1927
70,0,909,-0.256269,0.838306,-0.481217,-1875.16,-20361.9,1457.83,492,-10743.4,8647.87,-15194.8,650,2112
71,0,933,-0.583609,0.167966,-0.794473,15459.7,-13389.4,1404.35,541,967.476,-9218.41,-18324.1,639,2259
72,0,2273,-0.584295,-0.578841,-0.568808,7757.07,-1650.53,-18954.4,516,-999999,-999999,-999999,-999999,2273
73,0,1175,-0.58418,-0.575446,-0.57236,19906.5,4657.54,-730.744,413,-999999,-999999,-999999,-999999,1175
74,0,1090,0.116007,0.685194,-0.719063,-10439.7,-17488,-2330.62,556,-7757.77,-1647.25,-18954.4,120,2246
75,0,1853,-0.578078,-0.577397,-0.576575,-10544.8,-11711.2,-13118.5,575,-999999,-999999,-999999,-999999,1853
76,0,1506,-0.580138,-0.573097,-0.578792,-5807.46,-17873.5,-8113.87,557,-999999,-999999,-999999,-999999,1506
77,0,2155,-0.585295,-0.577987,-0.568648,12643.5,0.0493,-16159.2,553,-999999,-999999,-999999,-999999,2155
78,0,1949,-0.580235,-0.583556,-0.568146,7879.44,13647.7,-13118.5,536,-999999,-999999,-999999,-999999,1949
79,0,2077,-0.583162,-0.580861,-0.567911,12264.1,8268.87,-14209.4,551,-999999,-999999,-999999,-999999,2077
80,0,871,-0.569691,-0.579582,-0.582699,-20122.1,-3109.37,2251.77,470,-999999,-999999,-999999,-999999,871
81,0,2259,-0.582225,-0.578113,-0.571664,-830.653,-7887.1,-18954.4,623,-999999,-999999,-999999,-999999,2259
82,0,1994,0.879292,-0.29739,-0.372029,-14780.6,6759.77,-12493.6,466,3528.99,567.199,-20240.4,573,2320
83,0,1441,0.590984,-0.266489,-0.761394,-13012.1,15661,-2380.66,428,-1095.19,10287.4,-17733.8,505,2289
84,0,1909,-0.586636,-0.57487,-0.570424,16049.2,-4328.9,-12029.9,525,-999999,-999999,-999999,-999999,1909
85,0,2280,-0.582998,-0.58089,-0.568049,6562.71,2921.94,-19246.9,634,-999999,-999999,-999999,-999999,2280
86,0,867,-0.568906,-0.581436,-0.581617,-20383.4,1191.92,1503.73,448,-999999,-999999,-999999,-999999,867
87,0,892,0.2328,0.724466,-0.648809,-14863.7,-14114,342.1,500,-8377.84,6069.73,-17733.8,645,2180
88,0,901,0.994364,-0.105871,-0.00557393,-7414.18,-18961.4,2311.61,469,3261.02,-20098,2251.77,494,915
88,1,901,0.532321,0.142773,-0.834416,-7414.18,-18961.4,2311.61,469,1735.07,-16507.5,-12029.9,500,1874
89,0,913,-0.88114,0.450421,-0.14392,989.011,-20336.8,2251.77,522,-17271.3,-11002.5,-730.744,532,1069
89,1,913,-0.695695,0.618188,-0.365858,989.011,-20336.8,2251.77,522,-18615.1,-2916.76,-8057.81,596,1474
90,0,2155,-0.585295,-0.577987,-0.568648,12643.5,0.0493,-16159.2,558,-999999,-999999,-999999,-999999,2155
91,0,2377,-0.579993,-0.582788,-0.569181,-1629.95,3180.99,-20240.4,123,-999999,-999999,-999999,-999999,2377
92,0,1909,-0.586636,-0.57487,-0.570424,16049.2,-4328.9,-12029.9,544,-999999,-999999,-999999,-999999,1909
93,0,921,0.48093,0.384194,-0.7881,8401.89,-18648.3,1378.06,535,12422.7,-15436.3,-5210.75,556,1532
94,0,2077,-0.583162,-0.580861,-0.567911,12264.1,8268.87,-14209.4,466,-999999,-999999,-999999,-999999,2077
95,0,1457,0.62122,0.312402,-0.718673,-17933.5,8636.7,-4903.64,400,-11773.6,11734.4,-12029.9,463,1985
96,0,2112,-0.574601,-0.585918,-0.571431,-9732.7,9772.34,-15194.8,513,-999999,-999999,-999999,-999999,2112
97,0,905,0.93884,0.275076,-0.207152,-6875.36,-19269.8,1286.44,474,15671.7,-12663.6,-3688.49,569,1358
98,0,952,-0.585771,-0.571338,-0.574844,19754.6,-5372.48,730.744,466,-999999,-999999,-999999,-999999,952
99,0,2068,-0.585404,-0.57785,-0.568675,13774.7,693.83,-15194.8,552,-999999,-999999,-999999,-999999,2068
100,0,868,-0.569364,-0.580518,-0.582085,-20383.4,-1191.92,1503.73,450,-999999,-999999,-999999,-999999,868
101,0,2006,-0.574555,-0.583168,-0.574284,-14257,518.974,-14723.1,548,-999999,-999999,-999999,-999999,2006
102,0,1723,-0.599755,-0.00129082,-0.800183,15851.9,-8826.25,-9542.8,556,13572.4,-8831.16,-12584.1,610,2149
103,0,871,0.789007,0.345209,-0.508231,-20122.1,-3109.37,2251.77,559,8460.14,9396.01,-16159.2,517,2163
103,1,871,0.788683,0.134558,-0.599894,-20122.1,-3109.37,2251.77,559,7757.77,1647.25,-18954.4,375,2277
104,0,2174,-0.577146,-0.585508,-0.569283,-3382.37,11057.1,-16958.9,352,-999999,-999999,-999999,-999999,2174
105,0,967,-0.582787,-0.576033,-0.573189,19035.9,7225.04,2251.77,303,-999999,-999999,-999999,-999999,967
106,0,1902,-0.58655,-0.57383,-0.571557,12719.7,-9241.36,-13166,577,-999999,-999999,-999999,-999999,1902
107,0,2090,-0.578809,-0.584772,-0.56835,3906.18,14247.4,-14233.9,613,-999999,-999999,-999999,-999999,2090
108,0,883,0.571247,0.541173,-0.617097,-16992.2,-11368.5,1507.24,496,2219.89,6832.2,-19246.9,599,2288
109,0,1289,-0.570679,-0.582189,-0.579121,-19770.8,0,-5269.32,495,-999999,-999999,-999999,-999999,1289
110,0,919,-0.195857,0.325704,-0.924963,5724.22,-19604,1779.95,494,2129.88,-13626.7,-15194.8,596,2141
111,0,957,-0.584443,-0.573453,-0.574089,20328.8,1142.33,2251.77,477,-999999,-999999,-999999,-999999,957
112,0,1315,0.605112,0.693636,-0.390779,-11025.3,-16860.8,-3722.65,548,9470.7,6633.65,-16958.9,656,2162
112,1,1315,0.272001,0.648103,-0.711321,-11025.3,-16860.8,-3722.65,548,-4856.51,-2162.28,-19854.9,634,2307
113,0,871,-0.569691,-0.579582,-0.582699,-20122.1,-3109.37,2251.77,450,-999999,-999999,-999999,-999999,871
114,0,1995,-0.572486,-0.584966,-0.574521,-15528.5,5931.18,-12029.9,491,-999999,-999999,-999999,-999999,1995
115,0,901,-0.577681,-0.570961,-0.583342,-7414.18,-18961.4,2311.61,531,-999999,-999999,-999999,-999999,901
116,0,880,-0.571169,-0.578084,-0.58274,-19139.6,-7265.01,730.744,492,-999999,-999999,-999999,-999999,880
117,0,1040,-0.568376,-0.582358,-0.581213,-19884.6,4226.53,2251.77,421,-999999,-999999,-999999,-999999,1040
118,0,1033,0.381457,-0.305964,-0.872282,-18456.9,8822.53,1325.03,431,-10122.3,2137.39,-17733.8,543,2243
119,0,1759,-0.284932,-0.80729,-0.516814,12808.4,12661.3,-9792.22,488,7757.07,-1650.53,-18954.4,537,2273
120,0,2364,-0.582261,-0.580849,-0.568847,2735.13,304.009,-20365.5,507,-999999,-999999,-999999,-999999,2364
121,0,1554,-0.586565,-0.574166,-0.571205,18615.1,-2916.62,-8057.81,507,-999999,-999999,-999999,-999999,1554
122,0,1887,-0.585855,-0.5725,-0.573601,9076.59,-13925.9,-12029.9,545,-999999,-999999,-999999,-999999,1887
123,0,2205,-0.584507,-0.576286,-0.57118,5184.76,-8952.55,-17733.8,166,-999999,-999999,-999999,-999999,2205
124,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,564,-999999,-999999,-999999,-999999,2184
125,0,2115,-0.574427,-0.585687,-0.571843,-10743.4,8647.87,-15194.8,490,-999999,-999999,-999999,-999999,2115
126,0,914,-0.581616,-0.568648,-0.581689,2125.01,-20217.4,2251.77,508,-999999,-999999,-999999,-999999,914
127,0,1173,-0.584625,-0.574754,-0.572601,20253.2,3026.43,-730.744,456,-999999,-999999,-999999,-999999,1173
128,0,2165,-0.580744,-0.583415,-0.56777,6321.73,10949.7,-16159.2,499,-999999,-999999,-999999,-999999,2165
129,0,2112,-0.574601,-0.585918,-0.571431,-9732.7,9772.34,-15194.8,470,-999999,-999999,-999999,-999999,2112
130,0,1213,-0.733944,-0.334555,-0.5911,8580.64,18574.5,-1268.8,392,-8710.69,10692.6,-15194.8,484,2177
131,0,2105,-0.574908,-0.586431,-0.570595,-6783.11,13123.8,-14233.9,636,-999999,-999999,-999999,-999999,2105
132,0,887,-0.573102,-0.575737,-0.583164,-16536.2,-12014.3,730.744,502,-999999,-999999,-999999,-999999,887
133,0,2239,-0.576336,-0.584733,-0.570898,-8377.84,6069.73,-17733.8,525,-999999,-999999,-999999,-999999,2239
134,0,1935,-0.583335,-0.580406,-0.568199,13719.3,8628.9,-12584.1,424,-999999,-999999,-999999,-999999,1935
135,0,1040,-0.568376,-0.582358,-0.581213,-19884.6,4226.53,2251.77,419,-999999,-999999,-999999,-999999,1040
136,0,1177,-0.58488,-0.575053,-0.57204,20144.6,3003.34,-2251.77,541,-999999,-999999,-999999,-999999,1177
137,0,1451,0.931452,0.14444,-0.333968,-16263.5,11321.6,-5250.7,368,5680.14,14724.4,-13118.5,157,1954
138,0,1003,-0.333993,-0.65366,-0.6791,-2196.47,20313.7,1667.18,424,-11343.9,2411.17,-16932.1,534,2184
139,0,2160,-0.583741,-0.580346,-0.567841,10594.7,4717.09,-16932.1,534,-999999,-999999,-999999,-999999,2160
140,0,1310,0.385287,0.415159,-0.824134,-13631.5,-14937.7,-3361.21,548,-6912.2,-7697.49,-17733.8,624,2196
141,0,1074,-0.573545,-0.576507,-0.581967,-16691.4,-11611.8,-2251.77,531,-999999,-999999,-999999,-999999,1074
142,0,2112,-0.574601,-0.585918,-0.571431,-9732.7,9772.34,-15194.8,504,-999999,-999999,-999999,-999999,2112
143,0,1157,-0.586065,-0.571579,-0.574304,19733.2,-5472.95,-730.744,489,-999999,-999999,-999999,-999999,1157
144,0,926,-0.584189,-0.56813,-0.579613,10164.5,-17605.2,2251.77,505,-999999,-999999,-999999,-999999,926
145,0,2159,-0.583874,-0.580175,-0.56788,11550.4,5142.63,-16159.2,608,-999999,-999999,-999999,-999999,2159
146,0,2237,-0.576581,-0.585065,-0.57031,-6932.8,7678.94,-17733.8,500,-999999,-999999,-999999,-999999,2237
147,0,927,-0.584456,-0.568163,-0.579311,11153.7,-17034.1,2251.77,377,-999999,-999999,-999999,-999999,927
148,0,2148,-0.58527,-0.575758,-0.57093,7760.15,-8618.45,-16932.1,616,-999999,-999999,-999999,-999999,2148
149,0,871,-0.569691,-0.579582,-0.582699,-20122.1,-3109.37,2251.77,487,-999999,-999999,-999999,-999999,871
150,0,909,0.116454,0.783489,-0.610396,-370.921,-20439.9,1524.21,483,3591.87,6221.36,-19246.9,98,2286
151,0,1725,-0.586919,-0.573349,-0.571661,17016,-6499.32,-9422.97,538,-999999,-999999,-999999,-999999,1725
152,0,883,-0.124734,0.897571,-0.422857,-17322.3,-10820.3,1762.8,496,-19379.4,3981.99,-5210.75,540,1463
153,0,2228,-0.58025,-0.583693,-0.56799,2865.63,8814.95,-18324.1,436,-999999,-999999,-999999,-999999,2228
154,0,1017,0.697174,-0.043988,-0.715551,-10894.4,17266.9,1848.51,294,2627.6,16413.7,-12029.9,398,1956
155,0,1955,-0.578823,-0.584651,-0.568461,4869.74,14987.7,-13118.5,339,-999999,-999999,-999999,-999999,1955
156,0,877,0.173862,0.508134,-0.843547,-18767.4,-8089.87,1608.45,500,-15722.3,809.924,-13166,613,2183
157,0,1617,-0.571389,-0.586878,-0.573662,-10571,16249.3,-6634.82,563,-999999,-999999,-999999,-999999,1617
158,0,1738,-0.586262,-0.575622,-0.570049,17520.3,-947.282,-10619.5,516,-999999,-999999,-999999,-999999,1738
159,0,2064,-0.585907,-0.576772,-0.569252,13618,-2185.26,-15194.8,557,-999999,-999999,-999999,-999999,2064
160,0,947,-0.585928,-0.570406,-0.575608,18672.8,-8313.58,730.744,533,-999999,-999999,-999999,-999999,947
161,0,1775,-0.578232,-0.584701,-0.56901,5414,16662.8,-10619.5,285,-999999,-999999,-999999,-999999,1775
162,0,1364,-0.28102,0.34411,-0.895888,18711.2,-7588.56,-3543.39,546,16049.2,-4328.9,-12029.9,615,2153
163,0,2223,-0.581906,-0.58236,-0.567663,6912.2,7697.49,-17733.8,500,-999999,-999999,-999999,-999999,2223
164,0,2093,-0.578095,-0.585235,-0.5686,2226.35,14604.4,-14233.9,482,-999999,-999999,-999999,-999999,2093
165,0,872,-0.569998,-0.579104,-0.582872,-19884.6,-4226.67,2251.77,458,-999999,-999999,-999999,-999999,872
166,0,2327,-0.580347,-0.583091,-0.568508,555.666,5287,-19854.9,512,-999999,-999999,-999999,-999999,2327
167,0,945,-0.812063,-0.285418,-0.509009,18984,-7486.86,1950.86,487,-4204.84,-15637.1,-12584.1,613,1866
168,0,1226,-0.340968,-0.714277,-0.611187,2772.06,20187,-2247.12,444,-6795.71,143.999,-19397.4,542,2247
169,0,943,-0.585611,-0.56984,-0.576491,18106.7,-9311.91,2251.77,501,-999999,-999999,-999999,-999999,943
170,0,2260,-0.582167,-0.578442,-0.571391,-750.884,-7144.44,-19246.9,579,-999999,-999999,-999999,-999999,2260
171,0,1733,-0.586642,-0.574657,-0.570633,17137.4,-3642.6,-10619.5,509,-999999,-999999,-999999,-999999,1733
172,0,1729,-0.586794,-0.573918,-0.571219,17586.5,-4743.55,-9422.97,557,-999999,-999999,-999999,-999999,1729
173,0,1163,-0.58613,-0.572459,-0.57336,19971.3,-3818.75,-2251.77,504,-999999,-999999,-999999,-999999,1163
174,0,2019,-0.577279,-0.579615,-0.575148,-11544.5,-7545.29,-15194.8,599,-999999,-999999,-999999,-999999,2019
175,0,1371,-0.506215,0.395796,-0.766219,20164.7,-2765.49,-2446.61,526,10594.7,4717.09,-16932.1,598,2162
176,0,2052,-0.585911,-0.574593,-0.571447,9732.7,-9772.34,-15194.8,566,-999999,-999999,-999999,-999999,2052
177,0,2215,-0.584721,-0.578742,-0.568471,10345.5,13.8622,-17733.8,588,-999999,-999999,-999999,-999999,2215
178,0,963,-0.583379,-0.575196,-0.573427,19647.1,5343.97,2251.77,460,-999999,-999999,-999999,-999999,963
179,0,1004,-0.572216,-0.585028,-0.574726,-2125.01,20217.4,2251.77,425,-999999,-999999,-999999,-999999,1004
180,0,2195,-0.580528,-0.578307,-0.573191,-5160.75,-8966.41,-17733.8,563,-999999,-999999,-999999,-999999,2195
181,0,2178,-0.575923,-0.58543,-0.5706,-7760.15,8618.45,-16932.1,469,-999999,-999999,-999999,-999999,2178
182,0,901,-0.577681,-0.570961,-0.583342,-7414.18,-18961.4,2311.61,537,-999999,-999999,-999999,-999999,901
183,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,205,-999999,-999999,-999999,-999999,897
184,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,36,-999999,-999999,-999999,-999999,897
185,0,901,-0.577681,-0.570961,-0.583342,-7414.18,-18961.4,2311.61,57,-999999,-999999,-999999,-999999,901
186,0,1088,-0.577487,-0.572131,-0.582387,-9136.76,-18326.8,-730.744,49,-999999,-999999,-999999,-999999,1088
187,0,1729,-0.586794,-0.573918,-0.571219,17586.5,-4743.55,-9422.97,530,-999999,-999999,-999999,-999999,1729
188,0,969,-0.348113,-0.0828823,-0.933782,18043.2,9644.83,1292.58,437,12264.1,8268.87,-14209.4,510,2080
189,0,915,-0.582029,-0.568477,-0.581443,3261.02,-20098,2251.77,519,-999999,-999999,-999999,-999999,915
190,0,1360,-0.586718,-0.570795,-0.574417,16839.3,-10757.6,-4478.9,494,-999999,-999999,-999999,-999999,1360
191,0,1161,-0.586314,-0.571896,-0.573735,19624.6,-5449.86,-2251.77,511,-999999,-999999,-999999,-999999,1161
192,0,2246,-0.57843,-0.582472,-0.571091,-6795.71,143.999,-19397.4,582,-999999,-999999,-999999,-999999,2246
193,0,1384,-0.585228,-0.575734,-0.570998,19579.6,3040.17,-5210.75,466,-999999,-999999,-999999,-999999,1384
194,0,2157,-0.584676,-0.579052,-0.568201,12367.2,2628.79,-16159.2,528,-999999,-999999,-999999,-999999,2157
195,0,2182,-0.575586,-0.584493,-0.571899,-10594.7,4717.01,-16932.1,527,-999999,-999999,-999999,-999999,2182
196,0,2188,-0.577748,-0.581912,-0.572351,-9066.78,-1925.76,-18324.1,605,-999999,-999999,-999999,-999999,2188
197,0,865,0.462362,0.500908,-0.73165,-20413.8,1135.37,1496.19,420,-11178.1,11141,-13118.5,526,2109
198,0,2051,-0.585701,-0.574435,-0.571821,8710.68,-10692.6,-15194.8,559,-999999,-999999,-999999,-999999,2051
199,0,933,-0.585193,-0.568582,-0.578155,14451.5,-14342.9,2251.77,520,-999999,-999999,-999999,-999999,933
200,0,2115,-0.574427,-0.585687,-0.571843,-10743.4,8647.87,-15194.8,510,-999999,-999999,-999999,-999999,2115
201,0,1995,-0.572486,-0.584966,-0.574521,-15528.5,5931.18,-12029.9,474,-999999,-999999,-999999,-999999,1995
202,0,1578,-0.582577,-0.580191,-0.569195,15204.1,11046.5,-8113.87,412,-999999,-999999,-999999,-999999,1578
203,0,1021,-0.56893,-0.585426,-0.577577,-12753.8,15871.5,2251.77,319,-999999,-999999,-999999,-999999,1021
204,0,1023,0.450845,-0.862741,-0.228949,-14451.5,14342.9,2251.77,406,3047.88,-19144.1,-6634.82,230,1515
204,1,1023,0.283566,-0.525918,-0.801873,-14451.5,14342.9,2251.77,406,-6795.71,143.999,-19397.4,529,2246
205,0,2048,-0.585408,-0.574327,-0.572228,7488.23,-11582.3,-15194.8,523,-999999,-999999,-999999,-999999,2048
206,0,2175,-0.575878,-0.585887,-0.570176,-6321.81,10949.6,-16159.2,404,-999999,-999999,-999999,-999999,2175
207,0,1282,0.643526,0.119276,-0.756074,-19910.5,4348.19,-2217.09,418,-6201.15,6889.18,-18324.1,491,2295
208,0,1551,-0.586511,-0.573755,-0.571673,19149,-3017.16,-6634.82,585,-999999,-999999,-999999,-999999,1551
209,0,909,0.445371,0.112261,-0.88828,-2174.79,-20310,1738.58,484,2023.52,-19251.8,-6634.82,531,1517
210,0,1013,0.679635,-0.171876,-0.713131,-6009.38,19551.7,1366.88,376,5414,16662.8,-10619.5,409,1952
211,0,926,-0.584189,-0.56813,-0.579613,10164.5,-17605.2,2251.77,531,-999999,-999999,-999999,-999999,926
212,0,1853,-0.578078,-0.577397,-0.576575,-10544.8,-11711.2,-13118.5,559,-999999,-999999,-999999,-999999,1853
